machine,configuration,op1,op2,op3,op4,op5,op6,op7,op8,op9,op10,op11,op12,op13,op14,op15,op16,op17,op18,op19,op20,cost,basic_modules,auxiliary_modules
M1,mc11,,,,18,,,,16,,,,10,,,,15,,,,,850,2;3,12;17;20;22
M1,mc12,,,,,20,,,,12,,,,,,,,,20,,,1320,2;3,12;13;16;20;23
M1,mc13,,,24,,,,18,,,,,,,,,22,,,,,890,2;3,13;16;19;20;24
M1,mc14,,,,,,,,,,18,,,,,,,,,23,,1450,2;3,12;16;17
M2,mc21,20,,,,,16,,,,,,22,,,,,,,,26,1330,4;5;7;10,11;14;22;24
M2,mc22,,24,,,,,,,,,,,19,,20,,,,,,1210,4;5;7;10,11;15;19
M2,mc23,,,17,,,,,28,,,21,,,,,,30,,,,2000,4;5;7;10,15;19;23
M2,mc24,,25,,,19,,20,,,,,,,16,,,,,,,1580,4;5;7;10,14;15;18;23
M2,mc25,,,,16,,,,,,,,,20,,,,,14,,23,1750,4;5;7;10,13;23
M3,mc31,,15,,,,,,,23,,,18,,,,,20,,,,1400,1;2;6;10,13;15;16;19
M3,mc32,12,,,19,,,,29,,,22,,,,17,,24,,24,,2520,1;2;6;10,11;12;15;16;19;21
M4,mc41,,,,,,16,,,,18,,,,,,,,22,,,1920,7;9;10,15;20
M4,mc42,22,,,,,,,,,,,24,,,,,19,,,15,2020,7;9;10,15;16;20;24
M4,mc43,,17,,21,,,,24,,,,,16,,,26,,,23,,1880,7;9;10,12;16;18;23
M5,mc51,25,,,,,,18,,,,16,,,10,,,,28,,,1730,8;9;10,19;22
M5,mc52,,,14,,25,,,,,22,,,,,,,24,,,30,1530,8;9;10,14;18;19;22;25
M5,mc53,,,,17,,,,,10,,,,,,14,,,,,,2160,8;9;10,14;16;19;22
M5,mc54,13,,,,,27,12,,,,,,,18,,21,,,15,,1800,8;9;10,18;20;22
