machine,configuration,operation,production_rate
M1,mc11,4,18
M1,mc11,8,16
M1,mc11,12,10
M1,mc11,16,15
M1,mc12,5,20
M1,mc12,9,12
M1,mc12,18,20
M1,mc13,3,24
M1,mc13,7,18
M1,mc13,16,22
M1,mc14,10,18
M1,mc14,19,23
M2,mc21,1,20
M2,mc21,6,16
M2,mc21,12,22
M2,mc21,20,26
M2,mc22,2,24
M2,mc22,13,19
M2,mc22,15,20
M2,mc23,3,17
M2,mc23,8,28
M2,mc23,11,21
M2,mc23,17,30
M2,mc24,2,25
M2,mc24,5,19
M2,mc24,7,20
M2,mc24,14,16
M2,mc25,4,16
M2,mc25,13,20
M2,mc25,18,14
M2,mc25,20,23
M3,mc31,2,15
M3,mc31,9,23
M3,mc31,12,18
M3,mc31,17,20
M3,mc32,1,12
M3,mc32,4,19
M3,mc32,8,29
M3,mc32,11,22
M3,mc32,15,17
M3,mc32,17,24
M3,mc32,19,24
M4,mc41,6,16
M4,mc41,10,18
M4,mc41,18,22
M4,mc42,1,22
M4,mc42,12,24
M4,mc42,17,19
M4,mc42,20,15
M4,mc43,2,17
M4,mc43,4,21
M4,mc43,8,24
M4,mc43,13,16
M4,mc43,16,26
M4,mc43,19,23
M5,mc51,1,25
M5,mc51,7,18
M5,mc51,11,16
M5,mc51,14,10
M5,mc51,18,28
M5,mc52,3,14
M5,mc52,5,25
M5,mc52,10,22
M5,mc52,17,24
M5,mc52,20,30
M5,mc53,4,17
M5,mc53,9,10
M5,mc53,15,14
M5,mc54,1,13
M5,mc54,6,27
M5,mc54,7,12
M5,mc54,14,18
M5,mc54,16,21
M5,mc54,19,15
