configuration,resource,amount
mc11,12,1
mc11,17,1
mc11,20,1
mc11,22,1
mc12,12,1
mc12,13,1
mc12,16,1
mc12,20,1
mc12,23,1
mc13,13,1
mc13,16,1
mc13,19,1
mc13,20,1
mc13,24,1
mc14,12,1
mc14,16,1
mc14,17,1
mc21,11,1
mc21,14,1
mc21,22,1
mc21,24,1
mc22,11,1
mc22,15,1
mc22,19,1
mc23,15,1
mc23,19,1
mc23,23,1
mc24,14,1
mc24,15,1
mc24,18,1
mc24,23,1
mc25,13,1
mc25,23,1
mc31,13,1
mc31,15,1
mc31,16,1
mc31,19,1
mc32,11,1
mc32,12,1
mc32,15,1
mc32,16,1
mc32,19,1
mc32,21,1
mc41,15,1
mc41,20,1
mc42,15,1
mc42,16,1
mc42,20,1
mc42,24,1
mc43,12,1
mc43,16,1
mc43,18,1
mc43,23,1
mc51,19,1
mc51,22,1
mc52,14,1
mc52,18,1
mc52,19,1
mc52,22,1
mc52,25,1
mc53,14,1
mc53,16,1
mc53,19,1
mc53,22,1
mc54,18,1
mc54,20,1
mc54,22,1
