period,location,machine,configuration,operation,flow
1,5,M5,mc52,5,16.0
1,6,M5,mc51,1,16.0
1,7,M3,mc31,17,10.0
1,8,M3,mc31,17,10.0
1,9,M5,mc52,5,18.0
1,10,M5,mc51,1,16.0
1,11,M3,mc31,17,10.0
1,12,M3,mc31,17,10.0
1,13,M5,mc52,5,16.0
1,14,M5,mc51,1,2.0
1,15,M5,mc51,1,16.0
1,16,M3,mc31,17,10.0
2,5,M5,mc52,5,10.0
2,6,M5,mc52,5,20.0
2,7,M3,mc32,1,30.0
2,8,M3,mc32,17,30.0
2,9,M5,mc52,5,10.0
2,10,M5,mc52,5,20.0
2,11,M3,mc32,1,30.0
2,12,M3,mc32,17,30.0
2,13,M5,mc52,5,0.0
2,14,M5,mc51,1,0.0
2,15,M5,mc51,1,0.0
2,16,M3,mc32,1,0.0
3,5,M5,mc52,5,10.0
3,6,M5,mc52,5,20.0
3,7,M3,mc32,1,30.0
3,8,M3,mc32,17,30.0
3,9,M5,mc52,5,14.0
3,10,M5,mc52,5,20.0
3,11,M3,mc32,1,30.0
3,12,M3,mc32,17,30.0
3,13,M5,mc52,5,16.0
3,14,M5,mc54,1,4.0
3,15,M5,mc51,1,16.0
3,16,M3,mc32,17,20.0
4,5,M5,mc52,5,20.0
4,6,M5,mc52,5,20.0
4,7,M3,mc32,1,30.0
4,8,M3,mc32,17,30.0
4,9,M5,mc52,5,20.0
4,10,M5,mc52,5,20.0
4,11,M3,mc32,1,30.0
4,12,M3,mc32,17,35.0
4,13,M5,mc52,5,20.0
4,14,M5,mc54,1,20.0
4,15,M5,mc54,1,20.0
4,16,M3,mc32,17,35.0
