period,from_location,from_operation,to_location,to_operation,flow,distance,mhc,flow_cost
1,1,2,3,12,13.0,2.0,4.0,104.0
1,3,12,4,11,3.0,1.0,4.0,12.0
1,3,12,5,17,10.0,2.0,4.0,80.0
1,4,11,22,999,3.0,4.5,4.0,54.0
1,5,17,22,999,10.0,3.5,4.0,140.0
1,6,2,8,12,10.0,2.0,4.0,80.0
1,6,2,13,12,5.0,3.0,4.0,60.0
1,7,2,8,12,12.0,1.0,4.0,48.0
1,8,12,9,11,22.0,1.0,4.0,88.0
1,9,11,22,999,22.0,3.5,4.0,308.0
1,10,17,22,999,10.0,2.5,4.0,100.0
1,11,2,13,12,15.0,2.0,4.0,120.0
1,12,2,14,12,15.0,2.0,4.0,120.0
1,13,12,15,11,20.0,2.0,4.0,160.0
1,14,12,10,17,10.0,2.0,4.0,80.0
1,14,12,15,11,5.0,1.0,4.0,20.0
1,15,11,22,999,25.0,2.5,4.0,250.0
1,21,0,1,2,13.0,3.5,4.0,182.0
1,21,0,6,2,15.0,2.5,4.0,150.0
1,21,0,7,2,12.0,3.5,4.0,168.0
1,21,0,11,2,15.0,2.5,4.0,150.0
1,21,0,12,2,15.0,3.5,4.0,210.0
2,1,2,3,12,15.0,2.0,4.0,120.0
2,3,12,4,11,15.0,1.0,4.0,60.0
2,3,12,9,11,7.0,2.0,4.0,56.0
2,4,11,5,8,15.0,1.0,4.0,60.0
2,5,8,22,999,20.0,3.5,4.0,280.0
2,6,2,3,12,7.0,3.0,4.0,84.0
2,6,2,8,12,7.0,2.0,4.0,56.0
2,6,2,13,12,1.0,3.0,4.0,12.0
2,7,2,8,12,15.0,1.0,4.0,60.0
2,8,12,10,17,22.0,2.0,4.0,176.0
2,9,11,5,8,5.0,2.0,4.0,40.0
2,9,11,22,999,13.0,3.5,4.0,182.0
2,10,17,22,999,30.0,2.5,4.0,300.0
2,11,2,13,12,11.0,2.0,4.0,88.0
2,11,2,14,12,2.0,3.0,4.0,24.0
2,11,2,17,12,7.0,2.0,4.0,56.0
2,12,2,14,12,20.0,2.0,4.0,160.0
2,13,12,15,11,22.0,2.0,4.0,176.0
2,14,12,9,11,11.0,1.0,4.0,44.0
2,14,12,10,17,8.0,2.0,4.0,64.0
2,14,12,15,11,3.0,1.0,4.0,12.0
2,15,11,22,999,25.0,2.5,4.0,250.0
2,16,2,17,12,15.0,1.0,4.0,60.0
2,17,12,20,11,22.0,3.0,4.0,264.0
2,18,2,13,12,10.0,1.0,4.0,40.0
2,20,11,22,999,22.0,3.5,4.0,308.0
2,21,0,1,2,15.0,3.5,4.0,210.0
2,21,0,6,2,15.0,2.5,4.0,150.0
2,21,0,7,2,15.0,3.5,4.0,210.0
2,21,0,11,2,20.0,2.5,4.0,200.0
2,21,0,12,2,20.0,3.5,4.0,280.0
2,21,0,16,2,15.0,3.5,4.0,210.0
2,21,0,18,2,10.0,5.5,4.0,220.0
3,1,2,3,12,15.0,2.0,4.0,120.0
3,3,12,4,11,15.0,1.0,4.0,60.0
3,3,12,9,11,4.0,2.0,4.0,32.0
3,4,11,5,8,15.0,1.0,4.0,60.0
3,5,8,22,999,16.0,3.5,4.0,224.0
3,6,2,3,12,4.0,3.0,4.0,48.0
3,6,2,8,12,7.0,2.0,4.0,56.0
3,6,2,13,12,4.0,3.0,4.0,48.0
3,7,2,8,12,15.0,1.0,4.0,60.0
3,8,12,9,11,17.0,1.0,4.0,68.0
3,8,12,10,17,5.0,2.0,4.0,40.0
3,9,11,5,8,1.0,2.0,4.0,8.0
3,9,11,22,999,20.0,3.5,4.0,280.0
3,10,17,22,999,15.0,2.5,4.0,150.0
3,11,2,13,12,18.0,2.0,4.0,144.0
3,11,2,14,12,2.0,3.0,4.0,24.0
3,12,2,14,12,20.0,2.0,4.0,160.0
3,13,12,10,17,10.0,3.0,4.0,120.0
3,13,12,15,11,3.0,2.0,4.0,24.0
3,13,12,18,11,9.0,1.0,4.0,36.0
3,14,12,15,11,22.0,1.0,4.0,88.0
3,15,11,22,999,25.0,2.5,4.0,250.0
3,16,2,17,12,15.0,1.0,4.0,60.0
3,17,12,18,11,15.0,1.0,4.0,60.0
3,18,11,20,8,24.0,2.0,4.0,192.0
3,20,8,22,999,24.0,3.5,4.0,336.0
3,21,0,1,2,15.0,3.5,4.0,210.0
3,21,0,6,2,15.0,2.5,4.0,150.0
3,21,0,7,2,15.0,3.5,4.0,210.0
3,21,0,11,2,20.0,2.5,4.0,200.0
3,21,0,12,2,20.0,3.5,4.0,280.0
3,21,0,16,2,15.0,3.5,4.0,210.0
4,1,2,3,12,15.0,2.0,4.0,120.0
4,3,12,4,11,15.0,1.0,4.0,60.0
4,4,11,5,8,15.0,1.0,4.0,60.0
4,5,8,22,999,15.0,3.5,4.0,210.0
4,6,2,8,12,7.0,2.0,4.0,56.0
4,7,2,8,12,15.0,1.0,4.0,60.0
4,8,12,9,11,22.0,1.0,4.0,88.0
4,9,11,10,8,24.0,1.0,4.0,96.0
4,9,11,22,999,1.0,3.5,4.0,14.0
4,10,8,22,999,24.0,2.5,4.0,240.0
4,11,2,13,12,16.0,2.0,4.0,128.0
4,11,2,14,12,2.0,3.0,4.0,24.0
4,12,2,14,12,20.0,2.0,4.0,160.0
4,13,12,9,11,3.0,2.0,4.0,24.0
4,13,12,15,11,3.0,2.0,4.0,24.0
4,13,12,18,11,10.0,1.0,4.0,40.0
4,14,12,15,11,22.0,1.0,4.0,88.0
4,15,11,22,999,25.0,2.5,4.0,250.0
4,16,2,17,12,15.0,1.0,4.0,60.0
4,17,12,18,11,15.0,1.0,4.0,60.0
4,18,11,20,8,21.0,2.0,4.0,168.0
4,18,11,22,999,4.0,5.5,4.0,88.0
4,20,8,22,999,21.0,3.5,4.0,294.0
4,21,0,1,2,15.0,3.5,4.0,210.0
4,21,0,6,2,7.0,2.5,4.0,70.0
4,21,0,7,2,15.0,3.5,4.0,210.0
4,21,0,11,2,18.0,2.5,4.0,180.0
4,21,0,12,2,20.0,3.5,4.0,280.0
4,21,0,16,2,15.0,3.5,4.0,210.0
