period,from_location,from_operation,to_location,to_operation,flow,distance,mhc,flow_cost
1,1,2,3,12,8.0,2.0,4.0,64.0
2,1,2,3,12,15.0,2.0,4.0,120.0
3,1,2,3,12,15.0,2.0,4.0,120.0
4,1,2,3,12,15.0,2.0,4.0,120.0
1,3,12,4,11,8.0,1.0,4.0,32.0
2,3,12,4,11,15.0,1.0,4.0,60.0
3,3,12,4,11,15.0,1.0,4.0,60.0
4,3,12,4,11,15.0,1.0,4.0,60.0
2,3,12,9,11,7.0,2.0,4.0,56.0
2,4,11,5,8,15.0,1.0,4.0,60.0
3,4,11,5,8,15.0,1.0,4.0,60.0
4,4,11,5,8,15.0,1.0,4.0,60.0
1,4,11,22,999,8.0,4.5,4.0,144.0
2,5,8,22,999,20.0,3.5,4.0,280.0
3,5,8,22,999,16.0,3.5,4.0,224.0
4,5,8,22,999,15.0,3.5,4.0,210.0
1,6,2,8,12,7.0,2.0,4.0,56.0
2,6,2,8,12,14.0,2.0,4.0,112.0
3,6,2,8,12,7.0,2.0,4.0,56.0
4,6,2,8,12,7.0,2.0,4.0,56.0
2,6,2,13,12,1.0,3.0,4.0,12.0
3,6,2,13,12,1.0,3.0,4.0,12.0
3,6,2,17,12,7.0,3.0,4.0,84.0
2,7,2,3,12,7.0,2.0,4.0,56.0
1,7,2,8,12,15.0,1.0,4.0,60.0
2,7,2,8,12,8.0,1.0,4.0,32.0
3,7,2,8,12,15.0,1.0,4.0,60.0
4,7,2,8,12,15.0,1.0,4.0,60.0
1,8,12,9,11,12.0,1.0,4.0,48.0
2,8,12,9,11,11.0,1.0,4.0,44.0
3,8,12,9,11,7.0,1.0,4.0,28.0
4,8,12,9,11,22.0,1.0,4.0,88.0
1,8,12,10,17,10.0,2.0,4.0,80.0
2,8,12,10,17,11.0,2.0,4.0,88.0
3,8,12,10,17,15.0,2.0,4.0,120.0
2,9,11,5,8,5.0,2.0,4.0,40.0
3,9,11,5,8,1.0,2.0,4.0,8.0
4,9,11,10,8,21.0,1.0,4.0,84.0
1,9,11,22,999,17.0,3.5,4.0,238.0
2,9,11,22,999,13.0,3.5,4.0,182.0
3,9,11,22,999,20.0,3.5,4.0,280.0
4,9,11,22,999,4.0,3.5,4.0,56.0
4,10,8,22,999,21.0,2.5,4.0,210.0
1,10,17,22,999,10.0,2.5,4.0,100.0
2,10,17,22,999,30.0,2.5,4.0,300.0
3,10,17,22,999,15.0,2.5,4.0,150.0
1,11,2,13,12,8.0,2.0,4.0,64.0
2,11,2,13,12,11.0,2.0,4.0,88.0
4,11,2,13,12,2.0,2.0,4.0,16.0
1,11,2,14,12,7.0,3.0,4.0,84.0
2,11,2,14,12,2.0,3.0,4.0,24.0
3,11,2,14,12,20.0,3.0,4.0,240.0
4,11,2,14,12,9.0,3.0,4.0,108.0
2,11,2,17,12,7.0,2.0,4.0,56.0
4,11,2,17,12,7.0,2.0,4.0,56.0
