period,from_location,from_operation,to_location,to_operation,flow,distance,mhc,flow_cost
1,1,5,2,1,16.0,1.0,4.0,64.0
1,1,5,3,1,2.0,2.0,4.0,16.0
1,2,1,4,17,8.0,2.0,4.0,64.0
1,2,1,8,17,8.0,3.0,4.0,96.0
1,3,1,4,17,2.0,1.0,4.0,8.0
1,4,17,18,999,10.0,3.5,4.0,140.0
1,5,5,6,1,16.0,1.0,4.0,64.0
1,6,1,7,17,10.0,1.0,4.0,40.0
1,6,1,8,17,2.0,2.0,4.0,16.0
1,6,1,11,17,4.0,2.0,4.0,32.0
1,7,17,18,999,10.0,3.5,4.0,140.0
1,8,17,18,999,10.0,2.5,4.0,100.0
1,9,5,10,1,16.0,1.0,4.0,64.0
1,10,1,11,17,6.0,1.0,4.0,24.0
1,10,1,12,17,10.0,2.0,4.0,80.0
1,11,17,18,999,10.0,3.5,4.0,140.0
1,12,17,18,999,10.0,2.5,4.0,100.0
1,17,0,1,5,18.0,3.5,4.0,252.0
1,17,0,5,5,16.0,2.5,4.0,160.0
1,17,0,9,5,16.0,2.5,4.0,160.0
2,5,5,7,1,10.0,2.0,4.0,80.0
2,6,5,7,1,20.0,1.0,4.0,80.0
2,7,1,8,17,30.0,1.0,4.0,120.0
2,8,17,18,999,30.0,2.5,4.0,300.0
2,9,5,11,1,10.0,2.0,4.0,80.0
2,10,5,11,1,20.0,1.0,4.0,80.0
2,11,1,12,17,30.0,1.0,4.0,120.0
2,12,17,18,999,30.0,2.5,4.0,300.0
2,17,0,5,5,10.0,2.5,4.0,100.0
2,17,0,6,5,20.0,3.5,4.0,280.0
2,17,0,9,5,10.0,2.5,4.0,100.0
2,17,0,10,5,20.0,3.5,4.0,280.0
3,1,5,2,1,20.0,1.0,4.0,80.0
3,2,1,4,17,20.0,2.0,4.0,160.0
3,4,17,18,999,20.0,3.5,4.0,280.0
3,5,5,7,1,10.0,2.0,4.0,80.0
3,6,5,7,1,20.0,1.0,4.0,80.0
3,7,1,8,17,30.0,1.0,4.0,120.0
3,8,17,18,999,30.0,2.5,4.0,300.0
3,9,5,11,1,10.0,2.0,4.0,80.0
3,10,5,11,1,20.0,1.0,4.0,80.0
3,11,1,12,17,30.0,1.0,4.0,120.0
3,12,17,18,999,30.0,2.5,4.0,300.0
3,17,0,1,5,20.0,3.5,4.0,280.0
3,17,0,5,5,10.0,2.5,4.0,100.0
3,17,0,6,5,20.0,3.5,4.0,280.0
3,17,0,9,5,10.0,2.5,4.0,100.0
3,17,0,10,5,20.0,3.5,4.0,280.0
4,1,5,2,1,20.0,1.0,4.0,80.0
4,2,1,4,17,15.0,2.0,4.0,120.0
4,2,1,8,17,5.0,3.0,4.0,60.0
4,3,1,4,17,20.0,1.0,4.0,80.0
4,4,17,18,999,35.0,3.5,4.0,490.0
4,5,5,3,1,20.0,3.0,4.0,240.0
4,6,5,7,1,20.0,1.0,4.0,80.0
4,7,1,8,17,30.0,1.0,4.0,120.0
4,8,17,18,999,35.0,2.5,4.0,350.0
4,9,5,7,1,10.0,3.0,4.0,120.0
4,9,5,11,1,10.0,2.0,4.0,80.0
4,10,5,11,1,20.0,1.0,4.0,80.0
4,11,1,12,17,30.0,1.0,4.0,120.0
4,12,17,18,999,30.0,2.5,4.0,300.0
4,17,0,1,5,20.0,3.5,4.0,280.0
4,17,0,5,5,20.0,2.5,4.0,200.0
4,17,0,6,5,20.0,3.5,4.0,280.0
4,17,0,9,5,20.0,2.5,4.0,200.0
4,17,0,10,5,20.0,3.5,4.0,280.0
