period,resource,assigned_locations,usage,capacity,slack
1,11,2;5;8;9;13;15;17;20,8,8,0
1,12,5;15;20,3,3,0
1,13,10;14,2,8,6
1,14,1;3;5;6;7;11;12;15;16;20,10,10,0
1,15,2;8;9;13;17,5,7,2
1,16,1;3;5;6;7;11;12;15;16;20,10,10,0
1,17,,0,3,3
1,18,2;5;8;9;13;15;17;20,8,8,0
1,19,1;3;6;7;10;11;12;14;16,9,10,1
1,20,2;8;9;13;17;19,6,9,3
1,21,2;8;9;13;17,5,5,0
1,22,19,1,1,0
1,23,,0,0,0
1,24,10;14,2,5,3
1,25,,0,0,0
2,11,2;6;7;8;9;13;17,7,8,1
2,12,5;15;20,3,3,0
2,13,5;6;7;10;14;15;20,7,8,1
2,14,1;3;5;11;12;15;16;20,8,10,2
2,15,2;6;7;8;9;13;17,7,7,0
2,16,1;3;11;12;16,5,10,5
2,17,5;15;20,3,3,0
2,18,2;6;7;8;9;13;17,7,8,1
2,19,1;3;5;10;11;12;14;15;16;20,10,10,0
2,20,2;5;8;9;13;15;17;19;20,9,9,0
2,21,2;8;9;13;17,5,5,0
2,22,19,1,1,0
2,23,,0,0,0
2,24,6;7;10;14,4,5,1
2,25,,0,0,0
3,11,2;6;7;8;9;13;17,7,8,1
3,12,5;15;20,3,3,0
3,13,3;5;6;7;10;14;15;20,8,8,0
3,14,1;5;11;12;15;16;20,7,10,3
3,15,2;6;7;8;9;13;17,7,7,0
3,16,1;11;12;16,4,10,6
3,17,5;15;20,3,3,0
3,18,2;6;7;8;9;13;17,7,8,1
3,19,1;3;5;10;11;12;14;15;16;20,10,10,0
3,20,2;5;8;9;13;15;17;19;20,9,9,0
3,21,2;8;9;13;17,5,5,0
3,22,19,1,1,0
3,23,,0,0,0
3,24,3;6;7;10;14,5,5,0
3,25,,0,0,0
4,11,2;6;7;8;9;13;17,7,8,1
4,12,5;15;20,3,3,0
4,13,3;5;6;7;10;14;15;20,8,8,0
4,14,1;5;11;12;15;16;20,7,10,3
4,15,2;6;7;8;9;13;17,7,7,0
4,16,1;11;12;16,4,10,6
4,17,5;15;20,3,3,0
4,18,2;6;7;8;9;13;17,7,8,1
4,19,1;3;5;10;11;12;14;15;16;20,10,10,0
4,20,2;5;8;9;13;15;17;19;20,9,9,0
4,21,2;8;9;13;17,5,5,0
4,22,19,1,1,0
4,23,,0,0,0
4,24,3;6;7;10;14,5,5,0
4,25,,0,0,0
