period,location,from_location,to_location,from_machine,from_configuration,to_machine,to_configuration,operation,reconfiguration_cost,relocation_distance,relocation_cost
2,6,6,6,M5,mc51,M5,mc52,5,225.0,0.0,0.0
2,7,7,7,M3,mc31,M3,mc32,1,275.0,0.0,0.0
2,8,8,8,M3,mc31,M3,mc32,17,275.0,0.0,0.0
2,10,10,10,M5,mc51,M5,mc52,5,225.0,0.0,0.0
2,11,11,11,M3,mc31,M3,mc32,1,275.0,0.0,0.0
2,12,12,12,M3,mc31,M3,mc32,17,275.0,0.0,0.0
3,3,3,3,M5,mc51,M5,mc54,1,50.0,0.0,0.0
3,14,14,14,M5,mc51,M5,mc54,1,50.0,0.0,0.0
3,16,16,16,M3,mc31,M3,mc32,17,275.0,0.0,0.0
4,15,3,15,M5,mc54,M5,mc54,1,0.0,3.0,3.0
