period,asset,location,machine,configuration,operation,flow
1,1,1,M5,mc52,5,10.0
1,2,2,M5,mc51,1,10.0
1,3,4,M3,mc31,17,10.0
1,4,5,M5,mc51,1,14.0
1,5,6,M5,mc52,5,20.0
1,6,7,M3,mc31,17,10.0
1,7,8,M5,mc51,1,10.0
1,8,9,M5,mc52,5,20.0
1,9,11,M3,mc31,17,10.0
1,10,12,M3,mc31,17,10.0
1,11,14,M5,mc51,1,16.0
1,12,16,M3,mc31,17,10.0
2,1,5,M5,mc52,5,10.0
2,2,6,M5,mc52,5,20.0
2,3,8,M3,mc32,17,30.0
2,4,13,M5,mc51,1,0.0
2,5,10,M5,mc52,5,20.0
2,6,7,M3,mc32,1,30.0
2,7,3,M5,mc51,1,0.0
2,8,9,M5,mc52,5,10.0
2,9,11,M3,mc32,1,30.0
2,10,12,M3,mc32,17,30.0
2,11,14,M5,mc51,1,0.0
2,12,16,M3,mc31,17,0.0
3,1,5,M5,mc52,5,20.0
3,2,6,M5,mc52,5,20.0
3,3,8,M3,mc32,17,35.0
3,4,13,M5,mc54,1,10.0
3,5,10,M5,mc52,5,20.0
3,6,7,M3,mc32,1,30.0
3,7,3,M5,mc51,1,10.0
3,8,9,M5,mc52,5,20.0
3,9,11,M3,mc32,1,30.0
3,10,12,M3,mc32,17,35.0
3,11,14,M5,mc54,1,0.0
3,12,16,M3,mc32,17,10.0
4,1,5,M5,mc52,5,20.0
4,2,6,M5,mc52,5,20.0
4,3,8,M3,mc32,17,30.0
4,4,13,M5,mc54,1,20.0
4,5,10,M5,mc52,5,20.0
4,6,7,M3,mc32,1,30.0
4,7,3,M5,mc52,5,20.0
4,8,9,M5,mc52,5,20.0
4,9,11,M3,mc32,1,30.0
4,10,12,M3,mc32,17,35.0
4,11,14,M5,mc54,1,20.0
4,12,16,M3,mc32,17,35.0
