period,from_location,from_operation,to_location,to_operation,flow,distance,mhc,flow_cost
1,1,5,2,1,10.0,1.0,4.0,40.0
1,2,1,4,17,10.0,2.0,4.0,80.0
1,4,17,18,999,10.0,3.5,4.0,140.0
1,5,1,7,17,10.0,2.0,4.0,80.0
1,5,1,11,17,4.0,3.0,4.0,48.0
1,6,5,5,1,10.0,1.0,4.0,40.0
1,6,5,8,1,10.0,2.0,4.0,80.0
1,7,17,18,999,10.0,3.5,4.0,140.0
1,8,1,12,17,10.0,1.0,4.0,40.0
1,9,5,5,1,4.0,1.0,4.0,16.0
1,9,5,14,1,16.0,2.0,4.0,128.0
1,11,17,18,999,10.0,3.5,4.0,140.0
1,12,17,18,999,10.0,2.5,4.0,100.0
1,14,1,11,17,6.0,2.0,4.0,48.0
1,14,1,16,17,10.0,2.0,4.0,80.0
1,16,17,18,999,10.0,3.5,4.0,140.0
1,17,0,1,5,10.0,3.5,4.0,140.0
1,17,0,6,5,20.0,3.5,4.0,280.0
1,17,0,9,5,20.0,2.5,4.0,200.0
2,5,5,7,1,10.0,2.0,4.0,80.0
2,6,5,7,1,20.0,1.0,4.0,80.0
2,7,1,8,17,30.0,1.0,4.0,120.0
2,8,17,18,999,30.0,2.5,4.0,300.0
2,9,5,11,1,10.0,2.0,4.0,80.0
2,10,5,11,1,20.0,1.0,4.0,80.0
2,11,1,12,17,30.0,1.0,4.0,120.0
2,12,17,18,999,30.0,2.5,4.0,300.0
2,17,0,5,5,10.0,2.5,4.0,100.0
2,17,0,6,5,20.0,3.5,4.0,280.0
2,17,0,9,5,10.0,2.5,4.0,100.0
2,17,0,10,5,20.0,3.5,4.0,280.0
3,3,1,8,17,10.0,2.0,4.0,80.0
3,5,5,7,1,20.0,2.0,4.0,160.0
3,6,5,3,1,10.0,2.0,4.0,80.0
3,6,5,7,1,10.0,1.0,4.0,40.0
3,7,1,8,17,25.0,1.0,4.0,100.0
3,7,1,12,17,5.0,2.0,4.0,40.0
3,8,17,18,999,35.0,2.5,4.0,350.0
3,9,5,11,1,10.0,2.0,4.0,80.0
3,9,5,13,1,10.0,1.0,4.0,40.0
3,10,5,11,1,20.0,1.0,4.0,80.0
3,11,1,12,17,30.0,1.0,4.0,120.0
3,12,17,18,999,35.0,2.5,4.0,350.0
3,13,1,16,17,10.0,3.0,4.0,120.0
3,16,17,18,999,10.0,3.5,4.0,140.0
3,17,0,5,5,20.0,2.5,4.0,200.0
3,17,0,6,5,20.0,3.5,4.0,280.0
3,17,0,9,5,20.0,2.5,4.0,200.0
3,17,0,10,5,20.0,3.5,4.0,280.0
4,3,5,7,1,10.0,1.0,4.0,40.0
4,3,5,11,1,10.0,2.0,4.0,80.0
4,5,5,13,1,20.0,2.0,4.0,160.0
4,6,5,7,1,20.0,1.0,4.0,80.0
4,7,1,8,17,30.0,1.0,4.0,120.0
4,8,17,18,999,30.0,2.5,4.0,300.0
4,9,5,14,1,20.0,2.0,4.0,160.0
4,10,5,11,1,20.0,1.0,4.0,80.0
4,11,1,12,17,30.0,1.0,4.0,120.0
4,12,17,18,999,35.0,2.5,4.0,350.0
4,13,1,16,17,20.0,3.0,4.0,240.0
4,14,1,12,17,5.0,3.0,4.0,60.0
4,14,1,16,17,15.0,2.0,4.0,120.0
4,16,17,18,999,35.0,3.5,4.0,490.0
4,17,0,3,5,20.0,5.5,4.0,440.0
4,17,0,5,5,20.0,2.5,4.0,200.0
4,17,0,6,5,20.0,3.5,4.0,280.0
4,17,0,9,5,20.0,2.5,4.0,200.0
4,17,0,10,5,20.0,3.5,4.0,280.0
