period,asset,location,from_location,to_location,from_machine,from_configuration,to_machine,to_configuration,operation,reconfiguration_cost,relocation_distance,relocation_cost
2,1,5,1,5,M5,mc52,M5,mc52,5,0.0,1.0,1.0
2,2,6,2,6,M5,mc51,M5,mc52,5,225.0,1.0,1.0
2,3,8,4,8,M3,mc31,M3,mc32,17,275.0,1.0,1.0
2,4,13,5,13,M5,mc51,M5,mc51,1,0.0,2.0,2.0
3,4,13,13,13,M5,mc51,M5,mc54,1,50.0,0.0,0.0
2,5,10,6,10,M5,mc52,M5,mc52,5,0.0,1.0,1.0
2,6,7,7,7,M3,mc31,M3,mc32,1,275.0,0.0,0.0
2,7,3,8,3,M5,mc51,M5,mc51,1,0.0,2.0,2.0
4,7,3,3,3,M5,mc51,M5,mc52,5,225.0,0.0,0.0
2,9,11,11,11,M3,mc31,M3,mc32,1,275.0,0.0,0.0
2,10,12,12,12,M3,mc31,M3,mc32,17,275.0,0.0,0.0
3,11,14,14,14,M5,mc51,M5,mc54,1,50.0,0.0,0.0
3,12,16,16,16,M3,mc31,M3,mc32,17,275.0,0.0,0.0
