period,from_location,from_operation,to_location,to_operation,flow,distance,mhc,flow_cost
1,1,5,2,1,10.00001,1.0,4.0,40.000039
1,1,5,3,1,7.99999,2.0,4.0,63.999922
1,2,1,3,17,1e-05,1.0,4.0,3.9e-05
1,2,1,4,17,10.0,2.0,4.0,80.0
1,3,1,7,17,7.99999,1.0,4.0,31.999961
1,3,17,18,999,1e-05,4.5,4.0,0.000175
1,4,17,18,999,10.0,3.5,4.0,140.0
1,5,5,6,1,16.0,1.0,4.0,64.0
1,6,1,7,17,2.00001,1.0,4.0,8.000039
1,6,1,8,17,10.0,2.0,4.0,80.0
1,6,1,12,17,3.99999,3.0,4.0,47.999883
1,7,17,18,999,10.0,3.5,4.0,140.0
1,8,17,18,999,10.0,2.5,4.0,100.0
1,9,5,10,1,16.0,1.0,4.0,64.0
1,10,1,11,17,9.99999,1.0,4.0,39.999961
1,10,1,12,17,6.00001,2.0,4.0,48.000078
1,11,17,18,999,9.99999,3.5,4.0,139.999864
1,12,17,18,999,10.0,2.5,4.0,100.0
1,17,0,1,5,18.0,3.5,4.0,252.0
1,17,0,5,5,16.0,2.5,4.0,160.0
1,17,0,9,5,16.0,2.5,4.0,160.0
2,5,5,7,1,20.0,2.0,4.0,160.0
2,6,5,7,1,10.0,1.0,4.0,40.0
2,7,1,8,17,30.0,1.0,4.0,120.0
2,8,17,18,999,30.0,2.5,4.0,300.0
2,9,5,11,1,10.0,2.0,4.0,80.0
2,10,5,11,1,20.0,1.0,4.0,80.0
2,11,1,12,17,30.0,1.0,4.0,120.0
2,12,17,18,999,30.0,2.5,4.0,300.0
2,17,0,5,5,20.0,2.5,4.0,200.0
2,17,0,6,5,10.0,3.5,4.0,140.0
2,17,0,9,5,10.0,2.5,4.0,100.0
2,17,0,10,5,20.0,3.5,4.0,280.0
3,1,5,2,1,3.999986,1.0,4.0,15.999946
3,1,5,3,1,6.000014,2.0,4.0,48.000109
3,2,1,8,17,3.999986,3.0,4.0,47.999837
3,3,1,4,17,16.000014,1.0,4.0,64.000054
3,4,17,18,999,16.000014,3.5,4.0,224.000191
3,5,5,3,1,10.0,3.0,4.0,120.0
3,5,5,7,1,10.0,2.0,4.0,80.0
3,6,5,7,1,20.0,1.0,4.0,80.0
3,7,1,8,17,30.0,1.0,4.0,120.0
3,8,17,18,999,33.999986,2.5,4.0,339.999864
3,9,5,11,1,10.0,2.0,4.0,80.0
3,10,5,11,1,20.0,1.0,4.0,80.0
3,11,1,12,17,30.0,1.0,4.0,120.0
3,12,17,18,999,30.0,2.5,4.0,300.0
3,17,0,1,5,10.0,3.5,4.0,140.0
3,17,0,5,5,20.0,2.5,4.0,200.0
3,17,0,6,5,20.0,3.5,4.0,280.0
3,17,0,9,5,10.0,2.5,4.0,100.0
3,17,0,10,5,20.0,3.5,4.0,280.0
4,1,5,3,1,19.999993,2.0,4.0,159.999942
4,2,5,3,1,7e-06,1.0,4.0,2.9e-05
4,2,1,4,17,14.99999,2.0,4.0,119.999922
4,2,1,8,17,5.0,3.0,4.0,60.0
4,3,1,4,17,20.00001,1.0,4.0,80.000039
4,4,17,18,999,35.0,3.5,4.0,490.0
4,5,5,2,1,9.99999,2.0,4.0,79.999922
4,5,5,3,1,1e-05,3.0,4.0,0.000117
4,5,5,7,1,10.0,2.0,4.0,80.0
4,6,5,7,1,20.0,1.0,4.0,80.0
4,7,1,8,17,30.0,1.0,4.0,120.0
4,8,17,18,999,35.0,2.5,4.0,350.0
4,9,5,11,1,20.0,2.0,4.0,160.0
4,10,5,2,1,10.0,2.0,4.0,80.0
4,10,5,11,1,10.0,1.0,4.0,40.0
4,11,1,12,17,30.0,1.0,4.0,120.0
4,12,17,18,999,30.0,2.5,4.0,300.0
4,17,0,1,5,19.999993,3.5,4.0,279.999898
4,17,0,2,5,7e-06,4.5,4.0,0.000131
4,17,0,5,5,20.0,2.5,4.0,200.0
4,17,0,6,5,20.0,3.5,4.0,280.0
4,17,0,9,5,20.0,2.5,4.0,200.0
4,17,0,10,5,20.0,3.5,4.0,280.0
