resource,required_capacity,peak_usage_in_solution,capacity_minus_peak,capacity_basis,system_solution_proven_optimal,proven_lexicographic_optimal
11,5.0,5.0,0.0,posthoc_peak_usage,True,False
12,5.0,5.0,0.0,posthoc_peak_usage,True,False
13,5.0,5.0,0.0,posthoc_peak_usage,True,False
14,5.0,5.0,0.0,posthoc_peak_usage,True,False
15,0.0,0.0,0.0,posthoc_peak_usage,True,False
16,8.0,8.0,0.0,posthoc_peak_usage,True,False
17,10.0,10.0,0.0,posthoc_peak_usage,True,False
18,5.0,5.0,0.0,posthoc_peak_usage,True,False
19,10.0,10.0,0.0,posthoc_peak_usage,True,False
20,12.0,12.0,0.0,posthoc_peak_usage,True,False
21,0.0,0.0,0.0,posthoc_peak_usage,True,False
22,4.0,4.0,0.0,posthoc_peak_usage,True,False
23,0.0,0.0,0.0,posthoc_peak_usage,True,False
24,2.0,2.0,0.0,posthoc_peak_usage,True,False
25,5.0,5.0,0.0,posthoc_peak_usage,True,False
