period,resource,usage,capacity,slack
1,11,5.000001,5.000000972055556,0.0
2,11,0.0,5.000000972055556,5.000001
3,11,0.0,5.000000972055556,5.000001
4,11,0.0,5.000000972055556,5.000001
1,12,5.000003,5.000002916277894,0.0
2,12,5.000003,5.000002916277894,0.0
3,12,5.000003,5.000002916277894,0.0
4,12,5.000003,5.000002916277894,0.0
1,13,2e-06,5.000002916277894,5.000001
2,13,5.000003,5.000002916277894,0.0
3,13,5.000003,5.000002916277894,0.0
4,13,5.000003,5.000002916277894,0.0
1,14,5.000001,5.000000972166666,0.0
2,14,5.000001,5.000000972166666,0.0
3,14,5.000001,5.000000972166666,0.0
4,14,5.000001,5.000000972166666,0.0
1,15,2e-06,1.9441112270745676e-06,0.0
2,15,2e-06,1.9441112270745676e-06,0.0
3,15,2e-06,1.9441112270745676e-06,0.0
4,15,2e-06,1.9441112270745676e-06,0.0
1,16,8.0,7.999999514491364,0.0
2,16,4.999999,7.999999514491364,3.000001
3,16,4.999999,7.999999514491364,3.000001
4,16,4.999999,7.999999514491364,3.000001
1,17,2.999999,9.999999514602473,7.000001
2,17,10.0,9.999999514602473,0.0
3,17,10.0,9.999999514602473,0.0
4,17,10.0,9.999999514602473,0.0
1,18,5.000001,5.000000972055556,0.0
2,18,0.0,5.000000972055556,5.000001
3,18,0.0,5.000000972055556,5.000001
4,18,0.0,5.000000972055556,5.000001
1,19,2.999999,9.999999514602473,7.000001
2,19,10.0,9.999999514602473,0.0
3,19,10.0,9.999999514602473,0.0
4,19,10.0,9.999999514602473,0.0
1,20,6.999999,12.000000000207118,5.000001
2,20,12.0,12.000000000207118,0.0
3,20,12.0,12.000000000207118,0.0
4,20,12.0,12.000000000207118,0.0
1,21,2e-06,1.9441112270745676e-06,0.0
2,21,2e-06,1.9441112270745676e-06,0.0
3,21,2e-06,1.9441112270745676e-06,0.0
4,21,2e-06,1.9441112270745676e-06,0.0
1,22,3.999999,3.9999985426774343,0.0
2,22,1.999999,3.9999985426774343,2.0
3,22,1.999999,3.9999985426774343,2.0
4,22,1.999999,3.9999985426774343,2.0
1,23,0,0.0,0.0
2,23,0,0.0,0.0
3,23,0,0.0,0.0
4,23,0,0.0,0.0
1,24,0.0,1.9999985420386315,1.999999
2,24,1.0,1.9999985420386315,0.999999
3,24,1.0,1.9999985420386315,0.999999
4,24,1.999999,1.9999985420386315,0.0
1,25,2.999999,4.999998542435808,2.0
2,25,4.999999,4.999998542435808,0.0
3,25,4.999999,4.999998542435808,0.0
4,25,4.999999,4.999998542435808,0.0
