period,resource,usage,capacity,slack
1,1001001,0,0.0,0.0
2,1001001,0,0.0,0.0
3,1001001,0,0.0,0.0
4,1001001,0,0.0,0.0
1,1001002,0,0.0,0.0
2,1001002,0,0.0,0.0
3,1001002,0,0.0,0.0
4,1001002,0,0.0,0.0
1,1001003,0,0.0,0.0
2,1001003,0,0.0,0.0
3,1001003,0,0.0,0.0
4,1001003,0,0.0,0.0
1,1001004,0,0.0,0.0
2,1001004,0,0.0,0.0
3,1001004,0,0.0,0.0
4,1001004,0,0.0,0.0
1,1002001,0.0,0.0,0.0
2,1002001,0.0,0.0,0.0
3,1002001,0.0,0.0,0.0
4,1002001,0.0,0.0,0.0
1,1002002,0.0,0.0,0.0
2,1002002,0.0,0.0,0.0
3,1002002,0.0,0.0,0.0
4,1002002,0.0,0.0,0.0
1,1002003,0.0,0.0,0.0
2,1002003,0.0,0.0,0.0
3,1002003,0.0,0.0,0.0
4,1002003,0.0,0.0,0.0
1,1002004,0.0,0.0,0.0
2,1002004,0.0,0.0,0.0
3,1002004,0.0,0.0,0.0
4,1002004,0.0,0.0,0.0
1,1002005,0.0,0.0,0.0
2,1002005,0.0,0.0,0.0
3,1002005,0.0,0.0,0.0
4,1002005,0.0,0.0,0.0
1,1003001,0,0.0,0.0
2,1003001,0,0.0,0.0
3,1003001,0,0.0,0.0
4,1003001,0,0.0,0.0
1,1003002,0,0.0,0.0
2,1003002,0,0.0,0.0
3,1003002,0,0.0,0.0
4,1003002,0,0.0,0.0
1,1003003,0,0.0,0.0
2,1003003,0,0.0,0.0
3,1003003,0,0.0,0.0
4,1003003,0,0.0,0.0
1,1003004,0,0.0,0.0
2,1003004,0,0.0,0.0
3,1003004,0,0.0,0.0
4,1003004,0,0.0,0.0
1,1003005,0,0.0,0.0
2,1003005,0,0.0,0.0
3,1003005,0,0.0,0.0
4,1003005,0,0.0,0.0
1,1004001,0,0.0,0.0
2,1004001,0,0.0,0.0
3,1004001,0,0.0,0.0
4,1004001,0,0.0,0.0
1,1004002,0,0.0,0.0
2,1004002,0,0.0,0.0
3,1004002,0,0.0,0.0
4,1004002,0,0.0,0.0
1,1004003,0,0.0,0.0
2,1004003,0,0.0,0.0
3,1004003,0,0.0,0.0
4,1004003,0,0.0,0.0
1,1005001,0.0,0.0,0.0
2,1005001,0.0,0.0,0.0
3,1005001,0.0,0.0,0.0
4,1005001,0.0,0.0,0.0
1,1005002,0.0,0.0,0.0
2,1005002,0.0,0.0,0.0
3,1005002,0.0,0.0,0.0
4,1005002,0.0,0.0,0.0
1,1005003,0.0,0.0,0.0
2,1005003,0.0,0.0,0.0
3,1005003,0.0,0.0,0.0
4,1005003,0.0,0.0,0.0
1,1005004,0.0,0.0,0.0
2,1005004,0.0,0.0,0.0
3,1005004,0.0,0.0,0.0
4,1005004,0.0,0.0,0.0
1,1005005,0.0,0.0,0.0
2,1005005,0.0,0.0,0.0
3,1005005,0.0,0.0,0.0
4,1005005,0.0,0.0,0.0
1,1006001,0,0.0,0.0
2,1006001,0,0.0,0.0
3,1006001,0,0.0,0.0
4,1006001,0,0.0,0.0
1,1006002,0,0.0,0.0
2,1006002,0,0.0,0.0
3,1006002,0,0.0,0.0
4,1006002,0,0.0,0.0
1,1006003,0,0.0,0.0
2,1006003,0,0.0,0.0
3,1006003,0,0.0,0.0
4,1006003,0,0.0,0.0
1,1007001,0.0,0.0,0.0
2,1007001,0.0,0.0,0.0
3,1007001,0.0,0.0,0.0
4,1007001,0.0,0.0,0.0
1,1007002,0.0,0.0,0.0
2,1007002,0.0,0.0,0.0
3,1007002,0.0,0.0,0.0
4,1007002,0.0,0.0,0.0
1,1007003,0.0,0.0,0.0
2,1007003,0.0,0.0,0.0
3,1007003,0.0,0.0,0.0
4,1007003,0.0,0.0,0.0
1,1008001,0.0,0.0,0.0
2,1008001,0.0,0.0,0.0
3,1008001,0.0,0.0,0.0
4,1008001,0.0,0.0,0.0
1,1008002,0.0,0.0,0.0
2,1008002,0.0,0.0,0.0
3,1008002,0.0,0.0,0.0
4,1008002,0.0,0.0,0.0
1,1008003,0.0,0.0,0.0
2,1008003,0.0,0.0,0.0
3,1008003,0.0,0.0,0.0
4,1008003,0.0,0.0,0.0
1,1008004,0.0,0.0,0.0
2,1008004,0.0,0.0,0.0
3,1008004,0.0,0.0,0.0
4,1008004,0.0,0.0,0.0
1,1008005,0.0,0.0,0.0
2,1008005,0.0,0.0,0.0
3,1008005,0.0,0.0,0.0
4,1008005,0.0,0.0,0.0
1,1009001,0,0.0,0.0
2,1009001,0,0.0,0.0
3,1009001,0,0.0,0.0
4,1009001,0,0.0,0.0
1,1009002,0,0.0,0.0
2,1009002,0,0.0,0.0
3,1009002,0,0.0,0.0
4,1009002,0,0.0,0.0
1,1009003,0,0.0,0.0
2,1009003,0,0.0,0.0
3,1009003,0,0.0,0.0
4,1009003,0,0.0,0.0
1,1010001,5.0,5.0,0.0
