machine,configuration,op1,op2,op3,op4,op5,op6,op7,op8,op9,op10,op11,op12,op13,op14,op15,op16,op17,op18,op19,op20,cost,basic_modules,auxiliary_modules
M1,mc11,,,,14.0,,,,12.0,,,,8.0,,,,18.0,,,,,750,1;5,101001;101002;1001001;1001002
M1,mc12,,,,,15.0,,,,20.0,,,,,,,,,16.0,,,955,1;5,101001;101002;101003;1002001;1002002
M1,mc13,,,20.0,,,,15.0,,,,,,,,,25.0,,,,,1025,1;5,101001;101002;101003;1003001;1003002
M1,mc14,,,,,,,,,,15.0,,,,,,,,,12.0,,840,1;5,101001;101002;1004001
M2,mc21,14.0,,,,,15.0,,,,,,12.0,,,,,,,,20.0,1215,2;4;8,102001;102002;102003;1005001;1005002
M2,mc22,,15.0,,,,,,,,,,,14.0,,15.0,,,,,,910,2;4;8,102001;102002;1006001
M2,mc23,,,25.0,,,,,18.0,,,25.0,,,,,,20.0,,,,1140,2;4;8,102001;102002;1007001
M2,mc24,,20.0,,,20.0,,18.0,,,,,,,24.0,,,,,,,1350,2;4;8,102001;102002;102003;1008001;1008002
M2,mc25,,,,18.0,,,,,,,,,20.0,,,,,14.0,,15.0,1050,2;4;8,102001;102002;1009001
M3,mc31,,12.0,,,,,,,15.0,,,10.0,,,,,10.0,,,,780,3;5;7,103001;103002;103003;1010001;1010002
M3,mc32,30.0,,,26.0,,,,24.0,,,24.0,,,,20.0,,35.0,,15.0,,1825,3;5;7,103001;103002;103003;1011001;1011002;1011003
M4,mc41,,,,,,25.0,,,,30.0,,,,,,,,25.0,,,1350,4;9,104001;1012001
M4,mc42,25.0,,,,,,,,,,,22.0,,,,,30.0,,,26.0,1500,4;9,104001;104002;104003;1013001;1013002
M4,mc43,,18.0,,25.0,,,,16.0,,,,,22.0,,,28.0,,,20.0,,1400,4;9,104001;104002;1014001;1014002
M5,mc51,16.0,,,,,,15.0,,,,15.0,,,18.0,,,,18.0,,,900,3;6;10,105001;1015001
M5,mc52,,,24.0,,20.0,,,,,25.0,,,,,,,24.0,,,20.0,1175,3;6;10,105001;105002;105003;1016001;1016002
M5,mc53,,,,24.0,,,,,30.0,,,,,,18.0,,,,,,1230,3;6;10,105001;105002;105003;1017001;1017002
M5,mc54,20.0,,,,,22.0,14.0,,,,,,,20.0,,16.0,,,18.0,,1175,3;6;10,105001;105002;1018001
