period,from_location,from_operation,to_location,to_operation,flow,distance,mhc,flow_cost
1,2,1,8,17,1.3e-05,3.0,4.0,0.000155
1,5,5,2,1,1.3e-05,2.0,4.0,0.000103
1,5,5,6,1,15.99999,1.0,4.0,63.999961
1,6,1,7,17,6.000013,1.0,4.0,24.000052
1,6,1,8,17,9.999987,2.0,4.0,79.999897
1,7,17,18,999,10.0,3.5,4.0,140.0
1,8,17,18,999,10.0,2.5,4.0,100.0
1,9,5,6,1,1e-05,2.0,4.0,7.8e-05
1,9,5,10,1,16.0,1.0,4.0,64.0
1,10,1,11,17,9.999997,1.0,4.0,39.999987
1,10,1,12,17,6.000003,2.0,4.0,48.000026
1,11,17,18,999,10.0,3.5,4.0,140.0
1,12,17,18,999,10.0,2.5,4.0,100.0
1,13,5,14,1,4.0,1.0,4.0,16.0
1,13,5,15,1,13.999987,2.0,4.0,111.999897
1,14,1,11,17,3e-06,2.0,4.0,2.6e-05
1,14,1,12,17,3.999997,3.0,4.0,47.999961
1,15,1,7,17,3.999987,2.0,4.0,31.999897
1,15,1,16,17,10.0,1.0,4.0,40.0
1,16,17,18,999,10.0,3.5,4.0,140.0
1,17,0,5,5,16.000003,2.5,4.0,160.000032
1,17,0,9,5,16.00001,2.5,4.0,160.000097
1,17,0,13,5,17.999987,3.5,4.0,251.999819
2,5,5,7,1,20.0,2.0,4.0,160.0
2,6,5,7,1,10.0,1.0,4.0,40.0
2,7,1,8,17,30.0,1.0,4.0,120.0
2,8,17,18,999,30.0,2.5,4.0,300.0
2,9,5,11,1,10.0,2.0,4.0,80.0
2,10,5,11,1,20.0,1.0,4.0,80.0
2,11,1,12,17,30.0,1.0,4.0,120.0
2,12,17,18,999,30.0,2.5,4.0,300.0
2,17,0,5,5,20.0,2.5,4.0,200.0
2,17,0,6,5,10.0,3.5,4.0,140.0
2,17,0,9,5,10.0,2.5,4.0,100.0
2,17,0,10,5,20.0,3.5,4.0,280.0
3,2,1,8,17,1.2e-05,3.0,4.0,0.000145
3,5,5,7,1,20.0,2.0,4.0,160.0
3,6,5,2,1,1.2e-05,1.0,4.0,4.8e-05
3,6,5,7,1,10.0,1.0,4.0,40.0
3,7,1,8,17,30.0,1.0,4.0,120.0
3,8,17,18,999,30.000012,2.5,4.0,300.000121
3,9,5,11,1,20.0,2.0,4.0,160.0
3,10,5,11,1,10.0,1.0,4.0,40.0
3,10,5,14,1,5.0,1.0,4.0,20.0
3,10,5,15,1,5.0,2.0,4.0,40.0
3,11,1,12,17,30.0,1.0,4.0,120.0
3,12,17,18,999,35.0,2.5,4.0,350.0
3,13,5,15,1,9.999988,2.0,4.0,79.999903
3,14,1,12,17,5.0,3.0,4.0,60.0
3,15,1,16,17,14.999988,1.0,4.0,59.999952
3,16,17,18,999,14.999988,3.5,4.0,209.99983
3,17,0,5,5,20.0,2.5,4.0,200.0
3,17,0,6,5,10.000012,3.5,4.0,140.00017
3,17,0,9,5,20.0,2.5,4.0,200.0
3,17,0,10,5,20.0,3.5,4.0,280.0
3,17,0,13,5,9.999988,3.5,4.0,139.99983
4,2,1,8,17,1.6e-05,3.0,4.0,0.000194
4,5,5,2,1,1.6e-05,2.0,4.0,0.000129
4,5,5,7,1,10.0,2.0,4.0,80.0
4,5,5,11,1,9.999984,3.0,4.0,119.999806
4,6,5,7,1,20.0,1.0,4.0,80.0
4,7,1,8,17,30.0,1.0,4.0,120.0
4,8,17,18,999,30.000016,2.5,4.0,300.000162
4,9,5,11,1,1.6e-05,2.0,4.0,0.000129
4,9,5,14,1,19.999984,2.0,4.0,159.999871
4,10,5,11,1,20.0,1.0,4.0,80.0
4,11,1,12,17,29.999992,1.0,4.0,119.999968
4,11,1,16,17,8e-06,2.0,4.0,6.5e-05
4,12,17,18,999,34.999984,2.5,4.0,349.999838
4,13,5,15,1,20.0,2.0,4.0,160.0
4,14,1,16,17,19.999984,2.0,4.0,159.999871
4,15,1,12,17,4.999992,2.0,4.0,39.999935
4,15,1,16,17,15.000008,1.0,4.0,60.000032
4,16,17,18,999,35.0,3.5,4.0,490.0
4,17,0,5,5,20.0,2.5,4.0,200.0
4,17,0,6,5,20.0,3.5,4.0,280.0
4,17,0,9,5,20.0,2.5,4.0,200.0
4,17,0,10,5,20.0,3.5,4.0,280.0
4,17,0,13,5,20.0,3.5,4.0,280.0
