period,asset,location,machine,configuration,operation,flow
1,1,5,M1,mc12,5,15.0
1,2,6,M1,mc12,5,15.0
1,3,7,M3,mc32,1,30.0
1,4,8,M4,mc42,17,30.0
1,5,9,M5,mc52,5,20.0
1,6,10,M5,mc54,1,20.0
1,7,12,M2,mc23,17,20.0
2,1,5,M1,mc12,5,15.0
2,7,6,M2,mc24,5,20.0
2,3,7,M3,mc32,1,30.0
2,4,8,M4,mc42,17,30.0
2,5,9,M5,mc52,5,20.0
2,6,10,M5,mc54,1,20.0
2,8,11,M5,mc51,1,10.0
2,9,12,M4,mc42,17,30.0
2,2,14,M1,mc12,5,5.0
3,1,5,M1,mc12,5,15.0
3,10,6,M1,mc12,5,15.0
3,3,7,M3,mc32,1,30.0
3,4,8,M4,mc42,17,30.0
3,7,9,M2,mc24,5,20.0
3,6,10,M5,mc54,1,20.0
3,5,11,M5,mc52,17,24.0
3,9,12,M4,mc42,17,26.0
3,11,13,M1,mc12,5,15.0
3,2,14,M1,mc12,5,15.0
3,8,15,M5,mc51,1,15.0
3,12,16,M5,mc51,1,15.0
4,10,2,M1,mc12,5,15.0
4,13,3,M5,mc51,1,15.000003
4,1,5,M1,mc12,5,15.0
4,5,6,M5,mc52,5,20.0
4,8,7,M5,mc54,1,20.0
4,3,8,M3,mc32,17,35.0
4,7,9,M2,mc24,5,20.0
4,6,10,M5,mc54,1,19.999997
4,12,11,M5,mc54,1,20.0
4,14,12,M3,mc32,17,35.0
4,11,13,M1,mc12,5,15.0
4,2,14,M1,mc12,5,15.0
4,4,15,M4,mc42,1,25.0
4,9,16,M4,mc42,17,30.0
