period,from_location,from_operation,to_location,to_operation,flow,distance,mhc,flow_cost
1,5,5,7,1,15.0,2.0,4.0,120.0
1,6,5,7,1,15.0,1.0,4.0,60.0
1,7,1,8,17,30.0,1.0,4.0,120.0
1,8,17,18,999,30.0,2.5,4.0,300.0
1,9,5,10,1,20.0,1.0,4.0,80.0
1,10,1,12,17,20.0,2.0,4.0,160.0
1,12,17,18,999,20.0,2.5,4.0,200.0
1,17,0,5,5,15.0,2.5,4.0,150.0
1,17,0,6,5,15.0,3.5,4.0,210.0
1,17,0,9,5,20.0,2.5,4.0,200.0
2,5,5,7,1,10.0,2.0,4.0,80.0
2,5,5,11,1,5.0,3.0,4.0,60.0
2,6,5,7,1,20.0,1.0,4.0,80.0
2,7,1,8,17,30.0,1.0,4.0,120.0
2,8,17,18,999,30.0,2.5,4.0,300.0
2,9,5,10,1,15.0,1.0,4.0,60.0
2,9,5,11,1,5.0,2.0,4.0,40.0
2,10,1,12,17,20.0,2.0,4.0,160.0
2,11,1,12,17,10.0,1.0,4.0,40.0
2,12,17,18,999,30.0,2.5,4.0,300.0
2,14,5,10,1,5.0,1.0,4.0,20.0
2,17,0,5,5,15.0,2.5,4.0,150.0
2,17,0,6,5,20.0,3.5,4.0,280.0
2,17,0,9,5,20.0,2.5,4.0,200.0
2,17,0,14,5,5.0,4.5,4.0,90.0
3,5,5,7,1,15.0,2.0,4.0,120.0
3,6,5,7,1,15.0,1.0,4.0,60.0
3,7,1,8,17,30.0,1.0,4.0,120.0
3,8,17,18,999,30.0,2.5,4.0,300.0
3,9,5,10,1,20.0,1.0,4.0,80.0
3,10,1,11,17,9.0,1.0,4.0,36.0
3,10,1,12,17,11.0,2.0,4.0,88.0
3,11,17,18,999,24.0,3.5,4.0,336.0
3,12,17,18,999,26.0,2.5,4.0,260.0
3,13,5,16,1,15.0,3.0,4.0,180.0
3,14,5,15,1,15.0,1.0,4.0,60.0
3,15,1,11,17,15.0,1.0,4.0,60.0
3,16,1,12,17,15.0,1.0,4.0,60.0
3,17,0,5,5,15.0,2.5,4.0,150.0
3,17,0,6,5,15.0,3.5,4.0,210.0
3,17,0,9,5,20.0,2.5,4.0,200.0
3,17,0,13,5,15.0,3.5,4.0,210.0
3,17,0,14,5,15.0,4.5,4.0,270.0
4,2,5,3,1,15.0,1.0,4.0,60.0
4,3,1,8,17,15.000003,2.0,4.0,120.0
4,5,5,11,1,15.0,3.0,4.0,180.0
4,6,5,7,1,20.0,1.0,4.0,80.0
4,7,1,8,17,19.999997,1.0,4.0,80.0
4,7,1,12,17,3e-06,2.0,4.0,0.0
4,8,17,18,999,35.0,2.5,4.0,350.0
4,9,5,3,1,3e-06,4.0,4.0,0.0
4,9,5,10,1,19.999997,1.0,4.0,80.0
4,10,1,12,17,19.999997,2.0,4.0,160.0
4,11,1,12,17,15.0,1.0,4.0,60.0
4,11,1,16,17,5.0,2.0,4.0,40.0
4,12,17,18,999,35.0,2.5,4.0,350.0
4,13,5,15,1,15.0,2.0,4.0,120.0
4,14,5,11,1,5.0,2.0,4.0,40.0
4,14,5,15,1,10.0,1.0,4.0,40.0
4,15,1,16,17,25.0,1.0,4.0,100.0
4,16,17,18,999,30.0,3.5,4.0,420.0
4,17,0,2,5,15.0,4.5,4.0,270.0
4,17,0,5,5,15.0,2.5,4.0,150.0
4,17,0,6,5,20.0,3.5,4.0,280.0
4,17,0,9,5,20.0,2.5,4.0,200.0
4,17,0,13,5,15.0,3.5,4.0,210.0
4,17,0,14,5,15.0,4.5,4.0,270.0
