period,asset,location,from_location,to_location,from_machine,from_configuration,to_machine,to_configuration,operation,reconfiguration_cost,modules_added,modules_removed,module_add_cost,module_remove_cost,relocation_distance,relocation_cost
2,2,14,6,14,M1,mc12,M1,mc12,5,0.0,,,0.0,0.0,2.0,2.0
2,7,6,12,6,M2,mc23,M2,mc24,5,175.0,11;15;18,19,150.0,25.0,3.0,3.0
3,5,11,9,11,M5,mc52,M5,mc52,17,0.0,,,0.0,0.0,2.0,2.0
3,7,9,6,9,M2,mc24,M2,mc24,5,0.0,,,0.0,0.0,2.0,2.0
3,8,15,11,15,M5,mc51,M5,mc51,1,0.0,,,0.0,0.0,1.0,1.0
4,3,8,7,8,M3,mc32,M3,mc32,17,0.0,,,0.0,0.0,1.0,1.0
4,4,15,8,15,M4,mc42,M4,mc42,1,0.0,,,0.0,0.0,3.0,3.0
4,5,6,11,6,M5,mc52,M5,mc52,5,0.0,,,0.0,0.0,2.0,2.0
4,8,7,15,7,M5,mc51,M5,mc54,1,50.0,24,,50.0,0.0,2.0,2.0
4,9,16,12,16,M4,mc42,M4,mc42,17,0.0,,,0.0,0.0,1.0,1.0
4,10,2,6,2,M1,mc12,M1,mc12,5,0.0,,,0.0,0.0,1.0,1.0
4,12,11,16,11,M5,mc51,M5,mc54,1,50.0,24,,50.0,0.0,2.0,2.0
