period,location,machine,configuration,operation,flow
1,1,M2,mc22,2,0.0
1,2,M4,mc42,12,0.0
1,3,M2,mc23,17,0.0
1,4,M3,mc31,17,0.0
1,6,M2,mc22,2,15.0
1,7,M2,mc22,2,15.0
1,8,M4,mc42,12,20.0
1,9,M4,mc42,12,15.0
1,10,M2,mc23,11,25.0
1,11,M2,mc22,2,15.0
1,12,M2,mc22,2,12.0
1,13,M4,mc42,12,22.0
1,14,M2,mc23,11,25.0
1,15,M3,mc31,17,10.0
1,16,M2,mc22,2,13.0
1,17,M4,mc42,12,13.0
1,19,M3,mc31,17,0.0
1,20,M3,mc32,17,10.0
2,1,M2,mc22,2,15.0
2,2,M4,mc42,12,22.0
2,3,M2,mc23,11,22.0
2,4,M3,mc31,2,10.0
2,6,M2,mc24,2,20.0
2,7,M2,mc24,2,20.0
2,8,M4,mc42,12,22.0
2,9,M4,mc42,12,22.0
2,10,M2,mc23,11,25.0
2,11,M2,mc22,2,15.0
2,12,M2,mc22,2,15.0
2,13,M4,mc42,12,22.0
2,14,M2,mc23,11,13.0
2,15,M3,mc32,17,30.0
2,16,M2,mc22,2,15.0
2,17,M4,mc42,12,22.0
2,19,M3,mc32,11,20.0
2,20,M3,mc32,8,20.0
3,1,M2,mc22,2,15.0
3,2,M4,mc42,12,15.0
3,3,M2,mc23,11,18.0
3,4,M3,mc32,8,18.0
3,6,M2,mc24,2,20.0
3,7,M2,mc24,2,20.0
3,8,M4,mc42,12,19.0
3,9,M4,mc42,12,22.0
3,10,M2,mc23,11,25.0
3,11,M2,mc22,2,15.0
3,12,M2,mc22,2,15.0
3,13,M4,mc42,12,22.0
3,14,M2,mc23,11,20.0
3,15,M3,mc32,17,15.0
3,16,M2,mc22,2,15.0
3,17,M4,mc42,12,22.0
3,19,M3,mc32,11,22.0
3,20,M3,mc32,8,22.0
4,1,M2,mc22,2,15.0
4,2,M4,mc42,12,22.0
4,3,M2,mc23,11,25.0
4,4,M3,mc32,8,24.0
4,6,M2,mc24,2,20.0
4,7,M2,mc24,2,18.0
4,8,M4,mc42,12,13.0
4,9,M4,mc42,12,18.0
4,10,M2,mc23,11,25.0
4,11,M2,mc22,2,15.0
4,12,M2,mc22,2,7.0
4,13,M4,mc42,12,22.0
4,14,M2,mc23,11,25.0
4,15,M3,mc32,8,24.0
4,16,M2,mc22,2,15.0
4,17,M4,mc42,12,15.0
4,19,M3,mc32,11,15.0
4,20,M3,mc32,8,12.0
