period,resource,usage,capacity,slack
1,11,8.0,8.0,0.0
2,11,8.0,8.0,0.0
3,11,7.0,8.0,1.0
4,11,7.0,8.0,1.0
1,12,4.0,6.0,2.0
2,12,4.0,6.0,2.0
3,12,4.0,6.0,2.0
4,12,4.0,6.0,2.0
1,13,4.0,9.0,5.0
2,13,8.0,9.0,1.0
3,13,9.0,9.0,0.0
4,13,9.0,9.0,0.0
1,14,10.0,10.0,0.0
2,14,8.0,10.0,2.0
3,14,8.0,10.0,2.0
4,14,8.0,10.0,2.0
1,15,5.0,7.0,2.0
2,15,7.0,7.0,0.0
3,15,7.0,7.0,0.0
4,15,7.0,7.0,0.0
1,16,9.0,10.0,1.0
2,16,5.0,10.0,5.0
3,16,4.0,10.0,6.0
4,16,4.0,10.0,6.0
1,17,1.0,5.0,4.0
2,17,3.0,5.0,2.0
3,17,4.0,5.0,1.0
4,17,4.0,5.0,1.0
1,18,8.0,8.0,0.0
2,18,8.0,8.0,0.0
3,18,7.0,8.0,1.0
4,18,7.0,8.0,1.0
1,19,10.0,11.0,1.0
2,19,10.0,11.0,1.0
3,19,11.0,11.0,0.0
4,19,11.0,11.0,0.0
1,20,6.0,10.0,4.0
2,20,8.0,10.0,2.0
3,20,9.0,10.0,1.0
4,20,9.0,10.0,1.0
1,21,5.0,5.0,0.0
2,21,5.0,5.0,0.0
3,21,5.0,5.0,0.0
4,21,5.0,5.0,0.0
1,22,0.0,0.0,0.0
2,22,0.0,0.0,0.0
3,22,0.0,0.0,0.0
4,22,0.0,0.0,0.0
1,23,0,0.0,0.0
2,23,0,0.0,0.0
3,23,0,0.0,0.0
4,23,0,0.0,0.0
1,24,3.0,5.0,2.0
2,24,5.0,5.0,0.0
3,24,5.0,5.0,0.0
4,24,5.0,5.0,0.0
1,25,0.0,0.0,0.0
2,25,0.0,0.0,0.0
3,25,0.0,0.0,0.0
4,25,0.0,0.0,0.0
