RMT configuration,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
MC1^1,-,-,-,18,-,-,-,16,-,-,-,10,-,-,-,15,-,-,-,-
MC1^2,-,-,-,-,20,-,-,-,12,-,-,-,-,-,-,-,-,20,-,-
MC1^3,-,-,24,-,-,-,18,-,-,-,-,-,-,-,-,22,-,-,-,-
MC1^4,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,23,-
MC2^1,20,-,-,-,-,16,-,-,-,-,-,22,-,-,-,-,-,-,-,26
MC2^2,-,24,-,-,-,-,-,-,-,-,-,-,19,-,20,-,-,-,-,-
MC2^3,-,-,17,-,-,-,-,28,-,-,21,-,-,-,-,-,30,-,-,-
MC2^4,-,25,-,-,19,-,20,-,-,-,-,-,-,16,-,-,-,-,23,-
MC2^5,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,23
MC3^1,-,15,-,-,-,-,-,-,23,-,-,18,-,-,-,-,20,-,-,-
MC3^2,12,-,-,19,-,-,-,29,-,-,22,-,-,-,17,-,24,-,24,-
MC4^1,-,-,-,-,-,16,-,-,-,18,-,-,-,-,-,-,-,22,23,-
MC4^2,22,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,19,-,-,15
MC4^3,-,17,-,21,-,-,-,24,-,-,-,-,16,-,-,26,-,-,-,-
MC5^1,25,-,-,-,-,-,18,-,-,-,16,-,-,10,-,-,-,28,-,-
MC5^2,-,-,14,-,25,-,-,-,-,22,-,-,-,-,-,-,19,-,-,30
MC5^3,-,-,-,17,-,-,-,-,10,-,-,-,-,-,14,-,-,-,-,-
MC5^4,13,-,-,-,-,27,12,-,-,-,-,-,-,18,-,21,-,-,15,-
