RMT,RMT configuration,Operations performed,Operation cost (SAR x10^3)
M1,MC1^1,"{4,8,12,16}",85
M1,MC1^2,"{5,18,9}",132
M1,MC1^3,"{7,3,16}",89
M1,MC1^4,"{19,10}",145
M2,MC2^1,"{12,1,6,20}",133
M2,MC2^2,"{15,2,13}",121
M2,MC2^3,"{3,17,8,11}",200
M2,MC2^4,"{2,7,5,14}",158
M2,MC2^5,"{4,18,13,20}",175
M3,MC3^1,"{2,12,9,17}",140
M3,MC3^2,"{8,1,4,15,11,19,17}",252
M4,MC4^1,"{10,6,18}",192
M4,MC4^2,"{17,1,20,12}",202
M4,MC4^3,"{13,2,8,4,19,16}",188
M5,MC5^1,"{14,1,11,7,18}",173
M5,MC5^2,"{5,3,17,20,10}",153
M5,MC5^3,"{9,4,15}",216
M5,MC5^4,"{14,1,7,6,19,16}",180
